"work_id","work_licentiate_id"
20178,"494,495"
18741,297
19015,297
19084,297
18768,297
19124,297
19127,297
19203,297
17497,297
17859,27
17930,"297,490"
19920,297
18299,47
18242,297
18470,297
19430,"494,495"
19372,297
21979,297
13258,"431,432,433,434,435,436,437,438,439"
17953,297
17957,297
17946,"431,433,436,437,438,454"
29291,542
34672,297
34547,297
18342,"297,1184"
21476,297
21330,"40,297"
21603,297
26166,297
26824,297
25462,297
18770,356
21142,297
21390,"209,210"
21443,297
21573,"161,297"
21465,368
21553,"297,522"
17885,297
17912,"297,27,28,29,30,32,33,40,41,42"
17615,487
17951,297
18461,"297,542"
17588,"3,4,6,7,297"
17629,297
18050,297
18171,297
17868,297
19133,"431,436"
19497,297
19525,297
18701,297
19055,297
18167,"297,385"
17970,287
18402,297
18428,"480,1672,1673"
18502,"407,408,409,410,411,412,413,414,415,416,417,418,419,420,459,464,465"
17605,297
17603,385
18016,"297,1184"
20081,"47,48,297"
20162,"297,27,28"
20014,386
16913,297
20880,"427,428,429,430,453,457,459,467"
18765,"365,366,368"
19701,"47,48"
19611,"1,16,17,18,189,192,243,248,249"
22566,297
23312,297
18173,494
18264,297
18651,297
22881,297
22956,334
35353,297
36246,517
21586,297
21588,297
21896,297
27269,"168,297"
27299,297
27778,"297,1184"
26957,"377,379"
21912,"393,394,395,398,399"
21628,297
22006,297
22046,297
18263,"40,47,48,297"
18056,297
21345,487
21277,297
21627,"363,364,365,366,367,368,369,370,371,372"
21653,522
21590,297
21635,517
19031,373
19697,"27,28,40,41"
18646,297
17883,297
18048,"47,48"
14909,297
18357,297
18345,297
18922,297
18997,297
18935,373
20425,"297,463"
20604,"515,516,517,518,519,520,521,522,524,525,539,540"
20781,297
19272,334
18583,297
19371,"27,28,29,30,297"
19478,"47,48,297"
19025,297
18441,297
18829,297
19394,386
12458,"297,1184"
18843,297
18842,297
19121,297
20280,297
11671,"494,495"
18234,"409,416,422,423,425,427,428,429,430,431,432,433,434,435,436,437,438,439,440,444,446,447,457,458,459,461,462,465,467,473,474,475,479,481,482"
18391,334
18508,297
20982,297
18902,"27,28,297,334"
19023,297
19290,297
19715,510
19731,544
19690,"209,210,299"
19883,297
18906,"105,1,196,198"
18013,490
19136,386
21327,297
18411,334
18421,"359,360"
18592,297
18230,297
36999,"377,379"
18767,297
22183,"364,368"
22730,358
19387,297
19508,490
28035,454
27901,297
27873,297
20753,297
21812,"516,518,519"
22431,297
18644,297
18385,385
18571,297
19624,297
19743,"297,491"
19694,297
16753,"27,28,31,40,41,42"
19087,"74,210,297"
19108,297
19211,297
18028,297
20859,"48,50"
21110,386
19388,297
19683,297
20032,"6,27,30,39,244"
19665,297
18553,297
18789,"27,28,40,41,189"
19119,"326,327,334,297"
21255,"379,385"
21391,"209,210"
18547,297
18579,297
19134,297
19343,297
19524,297
21112,297
21331,297
19471,297
23835,297
24088,297
24200,"6,7,21"
24266,334
19869,297
19935,297
19270,297
23671,297
23749,519
30118,297
18606,297
19475,297
22236,"359,360"
22954,501
22927,297
24006,297
28108,297
28504,"297,1184"
28488,297
28669,"494,495"
28548,297
19619,"463,478,483"
19609,297
22711,368
21929,297
18335,297
23105,70
19980,368
20351,"515,516"
18575,297
18622,297
18804,"494,495"
19495,"385,386"
19698,297
19745,297
19232,"432,436,446,450,453,454,459"
19899,297
19992,297
20205,297
18320,33
18341,297
18442,"297,1184"
21206,297
21398,297
21625,368
19793,297
17732,297
19771,297
20125,"473,480"
19033,297
21572,297
11830,297
21486,"385,386"
19517,297
19041,297
21749,"297,334"
18720,297
18958,360
15703,167
19848,297
24319,297
24610,297
19467,297
19590,"28,27"
19627,431
19696,297
20140,297
19158,385
24019,509
24090,297
23147,297
38798,338
38487,297
19900,297
19906,297
23367,"334,297"
23508,297
23755,297
28829,297
28650,297
29126,297
19024,28
18848,"47,48"
19026,297
19958,297
22420,297
22205,297
20373,501
19081,297
19156,297
18744,297
20966,"334,297"
20972,297
18980,297
18682,297
18755,297
22300,519
20934,297
21040,297
19398,297
20045,297
19973,297
24706,297
19819,521
19835,297
20019,297
20118,368
20034,297
18203,297
20232,297
21802,498
15797,297
22154,"297,334"
19756,297
19682,297
19963,297
23327,297
23396,"297,334"
20009,297
19993,297
20372,"297,492"
20457,297
19824,297
20033,348
25073,297
39639,522
23848,297
19284,"363,364"
19401,297
19522,297
